Priority_Tier,Company,Brand_Division,Job_Title,City,State,Region,Level,Employment_Type,Annual_Salary_Low,Annual_Salary_High,Hourly_Low,Hourly_High,Min_Experience_Yrs,Education_Required,Key_Responsibilities,Key_Skills,Apply_URL,Backup_Search_URL,Source_Platform,Dates_Timeline,Perks_Benefits,Status_Notes
2 - Entry-Level,The RealReal,The RealReal (online luxury consignment),Photography Production Assistant,Secaucus,NJ,New Jersey,Entry-Level,Full-Time,,,15.50,17.80,1,"High school diploma required; 1 yr fashion styling or product photography experience required","Photograph designer clothing; fine jewelry; watches; luxury accessories; capture detailed product condition images per brand standards; authenticate items; maintain production workflow standards; document quality metrics; process items through studio workflow","Fashion product photography; luxury goods & brand knowledge; product styling; attention to detail; image quality standards; physical stamina (standing/moving); teamwork; consistent quality output",https://careers.therealreal.com/us/en/jobs?keywords=photography+production+assistant&location=Secaucus,https://careers.therealreal.com/us/en/,The RealReal Careers (careers.therealreal.com),"Active ongoing hiring; Secaucus NJ authentication & photography center (in-person / warehouse studio); $15.50–$17.80/hr with incentives","Free shuttle from local train station to center; free/discounted lunch 3x/week; free bagels 2x/week; employee discount on luxury resale; paid training; possible sign-on bonus","Confirmed active May 2026 – multiple listings on careers.therealreal.com / LinkedIn / Indeed"
2 - Entry-Level,The RealReal,The RealReal (online luxury consignment),Photography Production Assistant,Perth Amboy,NJ,New Jersey,Entry-Level,Full-Time,,,16.00,18.90,1,"High school diploma required; 1 yr fashion styling or product photography experience required","Photograph designer clothing; fine jewelry; watches; luxury accessories; process & authenticate luxury items; quality documentation; production workflow adherence per brand standards","Fashion product photography; luxury goods & brand knowledge; product styling; attention to detail; image quality standards; physical stamina; teamwork; consistent output",https://careers.therealreal.com/us/en/jobs?keywords=photography+production+assistant&location=Perth+Amboy,https://careers.therealreal.com/us/en/,The RealReal Careers (careers.therealreal.com),"Active ongoing hiring; Perth Amboy NJ authentication center (in-person / warehouse studio); $16–$18.90/hr","Employee discount on luxury resale; paid training; Perth Amboy NJ location – easier commute from Middlesex/Monmouth counties; possible sign-on bonus","Confirmed active May 2026 – search 'Photography Production Assistant Perth Amboy' on careers.therealreal.com"
2 - Entry-Level,Randa Apparel & Accessories,"Levi's / Tommy Hilfiger / Calvin Klein / Columbia / Izod / Haggar (licensed brands)",Logistics Center Associate – Picking / Packing / Planning / Shipping,Bloomfield,NJ,New Jersey,Entry-Level,Full-Time,,,16.00,22.00,0,"High school diploma; prior warehouse or logistics experience a plus but not required","Process 300000+ units daily through Randa's fashion logistics center; picking / packing / planning / shipping garment & accessory orders; inventory control & cycle counts; order fulfillment to major retailers; shipping & receiving; quality checks; RF scanner operation","Warehouse operations; shipping & receiving; inventory control; order fulfillment; RF scanner operation; physical stamina; reliability; punctuality; teamwork; ability to meet daily production targets",https://randa.net/careers-logistics/,https://randa.net/careers/,Randa Careers (randa.net),"Multiple permanent openings at all times; Bloomfield NJ logistics center (near Newark); in-person / warehouse; $16–$22/hr","Health / vision / dental insurance with low employee contribution; unlimited award-winning online fitness & wellness programs; stable company (60+ years); 30+ licensed brands","Actively hiring on ongoing basis – randa.net/careers-logistics page lists openings"
2 - Entry-Level,Salvatore Ferragamo,Salvatore Ferragamo USA (luxury fashion & leather goods),Warehouse Stock & Logistics Coordinator,Secaucus,NJ,New Jersey,Entry-Level,Full-Time,,,20.00,24.00,1,"High school diploma required; Bachelor's preferred; warehouse experience required (not a remote/marketing role)","Manage inbound & outbound luxury goods stock at Secaucus NJ Distribution Center; warehouse stock coordination & organization; logistics documentation & record-keeping; ensure accuracy of luxury item inventory; coordinate with warehouse & logistics teams on shipment processing; compliance with Ferragamo standards for luxury goods handling","Warehouse operations experience (required); inventory management; luxury goods handling care; attention to detail; organizational skills; physical stamina; teamwork; logistics documentation; WMS/ERP; forklift / RF scanner a plus",https://www.ferragamo.com/shop/us/en/sf/work-with-us,https://www.linkedin.com/jobs/search/?keywords=warehouse+ferragamo&location=Secaucus%2C%20NJ,Ferragamo Careers (ferragamo.com) / LinkedIn,"Active hiring May 2026; Secaucus NJ Distribution Center (700 Castle Rd); in-person / warehouse; $20–$24/hr; 6 open Ferragamo NJ roles","Luxury fashion brand exposure; employee discount on Ferragamo products; health benefits; 401(k); part of global luxury group with Florence HQ","Confirmed active May 2026; apply at ferragamo.com/shop/us/en/sf/work-with-us or via LinkedIn Ferragamo company page"
2 - Entry-Level,Calvin Klein / PVH Corp,Calvin Klein (PVH Global Supply Chain),Production Assistant – Global Supply Chain (Entry Level),New York,NY,NYC,Entry-Level,Full-Time,50000,65000,,,0,"Bachelor's in Fashion / Supply Chain / Business / Operations or equivalent experience","Issue garment purchase orders for seasonal buys per customer demand; monitor production from order placement through warehouse receipt; identify demand & execute garment purchases from projections & orders in a timely manner; finished goods tracking & reporting; identify production issues & review potential solutions with management; maintain production & inventory requirements for Calvin Klein Sport & Jeans businesses","Garment production basics; purchase order management; supply chain tracking; Excel; ERP awareness; attention to detail; cross-functional communication; demand analysis; ability to follow complex production calendars",https://stylecareers.com/job/production-assistant-global-supply-chain-entry-level-calvin-klein-new-york-new-york-99442,https://careers.pvh.com/jobs/search/results?q=production+assistant+calvin+klein,StyleCareers.com / PVH Careers (careers.pvh.com),"NYC (Calvin Klein HQ – 200 Madison Ave); entry-level; verify current status at careers.pvh.com or stylecareers.com","PVH benefits package (medical/dental/vision; 401(k); paid leave); Calvin Klein brand prestige; clear career path to Supply Planner / Production Coordinator roles within PVH","Search 'Production Assistant Calvin Klein' on careers.pvh.com if direct URL is dead"
2 - Entry-Level,Gina Group,"Multi-brand wholesale fashion: footwear / hosiery / cold weather / intimates / handbags / tech accessories / home",Replenishment Coordinator,New York,NY,NYC,Entry-Level,Full-Time,55000,65000,,,1,"Associate or Bachelor's preferred in Business / Fashion / Supply Chain / Operations; 1-3 yrs experience in replenishment / order management / inventory / supply chain","Assist Senior Replenishment Manager with order processing accuracy & timeliness; process customer purchase orders through Exenta ERP; review EDI transactions; track orders from receipt through allocation & fulfillment; track trucking schedules & pickup appointments; analyze inventory levels & sales trends to support replenishment planning","Inventory management; Excel (required); Exenta/Simparel ERP a strong plus; EDI transactions; order tracking; attention to detail; communication; multi-tasking; collaborative team player",https://www.linkedin.com/jobs/search/?keywords=replenishment+coordinator&f_C=12345&location=New+York,https://www.linkedin.com/company/gina-group/jobs/,LinkedIn / Gina Group LinkedIn page (ginagroup.com),"Active ongoing hiring May 2026; NYC HQ (35+ yr established company); in-office; 16+ open positions","Competitive salary $55K–$65K; stable well-established wholesale company; exposure to major retail accounts; broad multi-category fashion product experience","Gina Group has no formal career portal – search 'Gina Group' on LinkedIn jobs to find current openings; 16 open May 2026"
2 - Entry-Level,Gina Group,"Gina Concepts division – footwear / hosiery / cold weather / intimates / handbags / accessories / home",Production Coordinator,New York,NY,NYC,Entry-Level,Full-Time,55000,65000,,,1,"Bachelor's in Fashion / Business / Supply Chain / Apparel Manufacturing preferred","Support production for Gina Concepts division; coordinate daily between vendors / design / product development / packaging / quality control / sales teams; assist with cost negotiation communications; create & manage production orders in system; follow up on factory production for on-time delivery; track seasonal production calendar milestones; communicate with overseas partners via email daily","Production coordination; vendor & factory communication; cost management basics; Excel; PLM / ERP awareness; attention to detail; multi-tasking; deadline management; written communication skills",https://www.linkedin.com/company/gina-group/jobs/,https://www.linkedin.com/company/gina-group/jobs/,LinkedIn / Gina Group company page,"Active hiring; NYC HQ; reports to VP of Production; in-office; national avg pay $64754/yr","Competitive salary; 35+ yr company; broad multi-category experience from footwear to home goods; strong production career training","Search 'Production Coordinator' on LinkedIn at Gina Group company page – 16 total open roles May 2026"
2 - Entry-Level,Steve Madden,Steve Madden / Madden Girl / Betsey Johnson brands,Production Coordinator,Long Island City,NY,NYC,Entry-Level,Full-Time,55000,70000,,,1,"Bachelor's in Fashion / Apparel Production / Supply Chain / Business preferred","Issue & track work orders for all ordered items; obtain and manage production approvals; communicate daily with vendors / design / production teams across brands; maintain production tracking reports for on-time delivery; follow up on sample deliveries & testing results; compliance documentation management; seasonal milestone tracking","Microsoft Office Suite (required – Excel / Word / Outlook); production tracking; vendor communication; work order management; attention to detail; fashion production knowledge; multi-brand management",https://www.stevemadden.com/pages/career-corporate,https://www.linkedin.com/company/steve-madden/jobs/,Steve Madden Careers (stevemadden.com/pages/career-corporate) / LinkedIn,"Long Island City NY HQ (52-16 Barnett Ave LIC); 82+ open Steve Madden roles in LIC; in-office","Health & dental insurance; life insurance; disability insurance; 401(k); paid holidays; employee discount on Steve Madden products; multi-brand footwear & accessories portfolio","Active ongoing hiring – search 'Production Coordinator' at stevemadden.com/pages/career-corporate"
2 - Entry-Level,Macy's Inc.,Macy's / Bloomingdale's / bluemercury,2026 Executive Development Program – Merchandise Planning,New York,NY,NYC,Entry-Level,Full-Time,54600,90960,,,0,"Bachelor's degree required; Business / Finance / Supply Chain / Merchandising / Analytics preferred; strong GPA a plus","Rotational development program across Macy's Inc. planning & inventory management function; OTB planning & financial planning analysis; inventory allocation analysis; retail analytics & reporting; supply chain operations exposure; develop full-stack planning skills; project ownership within 6-12 months; mentorship & leadership development","Excel (required); retail math; analytical mindset; data analysis; financial planning basics; strong communication; curiosity; attention to detail; leadership potential",https://www.indeed.com/viewjob?jk=c8449189443c68e7,https://www.macys.jobs/search/?q=executive+development+merchandise+planning,Macy's Inc. Careers (macys.jobs) / Indeed,"2026 start; NYC (Macy's HQ – 151 W 34th St); full-time; apply at macys.jobs","$54600–$90960 salary range; Macy's Inc. enterprise brand exposure; employee discounts; medical/dental/vision; 401(k); structured onboarding & mentorship; clear upward path to Planner / Sr. Planner","If Indeed URL is dead, search 'Executive Development Program Merchandise Planning' at macys.jobs"
3 - Mid-Level,URBN,Anthropologie,Supply Chain Analyst,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,70000,101000,,,2,"Bachelor's in Supply Chain Management / Operations / Business / Analytics","Sales & operations planning (S&OP) and long-range forecasting across all URBN brands; manage inbound scorecard reporting; call center & logistics labor planning; distribution & fulfillment site labor planning; global scorecarding process management & metric enhancements; cross-functional collaboration with DC teams across Philadelphia","S&OP; demand forecasting; advanced Excel (model building required); supply chain analytics; ERP/WMS systems; data visualization; strong written & verbal communication; 2+ yrs SC experience or applicable internship experience",https://homeoffice-na-urbn.icims.com/jobs/17108/urbn-supply-chain-analyst/job,https://talent.urbn.com/jobs?search=supply+chain+analyst,URBN Careers (homeoffice-na-urbn.icims.com) / talent.urbn.com,"Active listing; 2+ yrs SC experience or applicable internship required; on-site at Navy Yard Philadelphia HQ","Medical/dental/vision; generous employee discounts across all URBN brands; retirement savings; PTO; strong internal culture; career path to SC Manager","If direct URL is dead, search 'Supply Chain Analyst' on talent.urbn.com"
3 - Mid-Level,URBN,Anthropologie,Product Development Coordinator,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,43000,62000,,,1,"Bachelor's in Fashion / Textile / Merchandising / Product Development","Coordinate product details from hardware to materials; liaison between vendors and design teams; sample tracking & management; sourcing support; production scheduling; milestone follow-through across Anthropologie brand","Product development lifecycle; vendor communication; materials & hardware knowledge; Excel; PLM systems; organizational skills; strong attention to detail; multi-category product knowledge",https://talent.urbn.com/jobs?search=product+development+coordinator+anthropologie,https://talent.urbn.com/jobs?search=product+development,URBN Talent Portal (talent.urbn.com) / LinkedIn,"Active listing; on-site at Navy Yard Philadelphia; Anthropologie brand","Employee discounts (fashion + home + lifestyle); medical/dental/vision; PTO; retirement savings; path to Sr. PD Coordinator","Search 'Product Development Coordinator Anthropologie' on talent.urbn.com for current openings"
3 - Mid-Level,URBN,Anthropologie Home,Product Development Coordinator – Home,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,44000,65000,,,1,"Bachelor's in Fashion / Interior Design / Product Development / Merchandising","Home goods product development coordination; vendor communication & relationship management; sample tracking; material & hardware sourcing; design-to-production milestone management; cross-functional team support across Anthropologie Home division","Home goods PD knowledge; vendor relations; sample management; materials sourcing; Excel; attention to detail; proactive communication; awareness of home & lifestyle category trends",https://talent.urbn.com/jobs?search=product+development+home,https://talent.urbn.com/jobs?search=product+development,URBN Talent Portal (talent.urbn.com),"Active listing; Anthropologie Home division; Navy Yard Philadelphia","Employee discounts across all URBN categories (fashion + home); medical/dental/vision; PTO; unique home goods PD experience","Search 'Product Development Home' on talent.urbn.com"
3 - Mid-Level,URBN,Free People / FP Movement,Sr. Production Coordinator,Philadelphia,PA,Philadelphia,Mid-Level,Full-Time,44000,64000,,,2,"Bachelor's in Fashion / Textile / Production Management / Supply Chain","Production coordination for FP Movement activewear line; on-time delivery tracking & escalation; seasonal factory allocation management; compliance & testing follow-up; cost breakdown assistance to maintain margin; vendor management & relationship building; cross-departmental communication","Production management; factory allocation; compliance & testing; cost management; vendor communication; Excel; PLM; deadline management; activewear or performance category knowledge a plus",https://talent.urbn.com/jobs/22893,https://talent.urbn.com/jobs?search=production+coordinator+free+people,URBN Talent Portal (talent.urbn.com),"Active listing; FP Movement activewear division; Navy Yard Philadelphia; 2+ yrs preferred","Employee discounts across Free People / FP Movement; medical/dental/vision; PTO; retirement savings; growing activewear brand experience","Confirmed active May 2026 – talent.urbn.com job 22893; if dead, search 'Production Coordinator Free People'"
3 - Mid-Level,Randa Apparel & Accessories,"Levi's / Tommy Hilfiger / Calvin Klein / Columbia / Izod / Haggar (licensed brands)",Supply Chain Coordinator,Bloomfield,NJ,New Jersey,Mid-Level,Full-Time,43700,76650,21.00,37.00,2,"Bachelor's in Supply Chain / Logistics / Business / Operations","Coordinate logistics from international agents through production; track & allocate goods across supply chain from overseas factories to US distribution; manage cost control & shipping & receiving operations; production planning & scheduling support; regular interface with executive management; identify process improvement opportunities","Supply chain coordination; import/export logistics; cost management; Excel / ERP; vendor & agent communication; production planning; international shipping awareness; analytical skills",https://randa.net/careers/,https://randa.net/careers/,Randa Careers (randa.net),"Bloomfield NJ; multiple open coordinator roles; world's largest men's accessories company; 300000+ units shipped daily; 30+ licensed brands","Health/vision/dental with low employee contribution; unlimited fitness & wellness programs; stable 60+ yr company; diverse brand portfolio","Actively hiring on ongoing basis – apply at randa.net/careers"
3 - Mid-Level,Kering,"Gucci / Saint Laurent / Balenciaga / Bottega Veneta / Alexander McQueen (US wholesale operations)",Supply Chain Specialist – Wholesale,Wayne,NJ,New Jersey,Mid-Level,Full-Time,62400,66560,30.00,32.00,2,"Bachelor's in Supply Chain / Business / Operations; 2–4 yrs wholesale supply chain or retail logistics experience required","Manage end-to-end operational workflow of Kering's luxury wholesale business across all brands; oversee priority management / invoicing / return authorizations / KPI tracking & reporting; coordinate across Origin teams / Sales / Buying Offices / Finance / Inventory Control / Accounts Receivable / 3PL distribution center; support luxury brand partners' wholesale operational excellence","Wholesale supply chain operations; order management; invoicing & returns; KPI reporting; cross-functional coordination; SAP or similar ERP (preferred); Excel; luxury brand awareness; 2–4 yrs relevant experience required",https://www.businessoffashion.com/careers/job/309294/kering-supply-chain-specialist-wholesale/?TrackID=11,https://www.kering.com/en/careers/job-opportunities/,Business of Fashion (BoF) Careers / Kering Careers (kering.com),"START DATE: May 14 2026; Wayne NJ (Kering Americas US HQ); regular full-time","Medical/prescription drug; dental; vision; critical illness; accident; hospital indemnity; HSA; FSA; 401(k); life/AD&D; short-term disability; luxury brand portfolio exposure","Confirmed open – BoF job 309294; backup search at kering.com/en/careers"
3 - Mid-Level,Kering,"Gucci / Saint Laurent / Balenciaga / Bottega Veneta (US distribution operations)",Logistics Specialist,Wayne,NJ,New Jersey,Mid-Level,Full-Time,70000,77000,,,2,"Bachelor's in Logistics / Supply Chain / Business; 2–4 yrs international & domestic transportation management experience","Oversee international & domestic transportation partners across all Kering brand distribution channels; ensure cost-effective / timely / efficient process management; carrier relationship management & performance monitoring; logistics cost tracking & reporting; cross-channel distribution coordination (retail / wholesale / e-commerce); compliance & customs documentation management","International & domestic logistics management; carrier & 3PL management; transportation cost optimization; import/export documentation; customs compliance; ERP / TMS systems; Excel; process improvement; luxury brand logistics experience preferred",https://www.businessoffashion.com/careers/job/312066/kering-logistics-specialist/?TrackID=11,https://www.kering.com/en/careers/job-opportunities/,Business of Fashion (BoF) Careers / Kering Careers (kering.com),"START DATE: July 1 2026; Wayne NJ (Kering Americas US HQ); regular full-time","Medical/prescription drug; dental; vision; HSA; FSA; 401(k); life/AD&D; short-term disability; wellbeing programs; global luxury brand group exposure","Confirmed open – BoF job 312066; backup search at kering.com/en/careers"
